Main mode of commuting,Total,Male,Female
Total,71985,36075,35905
"Car, truck, van - as a driver",54535,28405,26130
"Car, truck, van - as a passenger",4945,1870,3075
Public transit,4895,1960,2935
Walked,5470,2610,2865
Bicycle,1355,835,525
Other method,780,405,380
Commuting duration,Total,Male,Female
Total,71980,36075,35905
Less than 15 minutes,23775,11530,12245
15 to 29 minutes,32355,16360,15995
30 to 44 minutes,11215,5635,5585
45 to 59 minutes,2400,1180,1215
60 minutes and over,2235,1370,865
