"REF_DATE","GEO","DGUID","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-01","Canada","2016A000011124","Persons","249","units","0","v1","1","37894799","","","","0"
"2020-04","Canada","2016A000011124","Persons","249","units","0","v1","1","37971020","","","","0"
"2020-01","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","521365","","","","0"
"2020-04","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","520437","","","","0"
"2020-01","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","158158","","","","0"
"2020-04","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","158717","","","","0"
"2020-01","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","977457","","","","0"
"2020-04","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","978274","","","","0"
"2020-01","New Brunswick","2016A000213","Persons","249","units","0","v10","5","779993","","","","0"
"2020-04","New Brunswick","2016A000213","Persons","249","units","0","v10","5","780890","","","","0"
"2020-01","Quebec","2016A000224","Persons","249","units","0","v11","6","8537674","","","","0"
"2020-04","Quebec","2016A000224","Persons","249","units","0","v11","6","8552362","","","","0"
"2020-01","Ontario","2016A000235","Persons","249","units","0","v12","7","14711827","","","","0"
"2020-04","Ontario","2016A000235","Persons","249","units","0","v12","7","14745040","","","","0"
"2020-01","Manitoba","2016A000246","Persons","249","units","0","v13","8","1377517","","","","0"
"2020-04","Manitoba","2016A000246","Persons","249","units","0","v13","8","1379121","","","","0"
"2020-01","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","1181666","","","","0"
"2020-04","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","1181987","","","","0"
"2020-01","Alberta","2016A000248","Persons","249","units","0","v15","10","4413146","","","","0"
"2020-04","Alberta","2016A000248","Persons","249","units","0","v15","10","4428247","","","","0"
"2020-01","British Columbia","2016A000259","Persons","249","units","0","v3","11","5110917","","","","0"
"2020-04","British Columbia","2016A000259","Persons","249","units","0","v3","11","5120184","","","","0"
"2020-01","Yukon","2016A000260","Persons","249","units","0","v4","12","41078","","","","0"
"2020-04","Yukon","2016A000260","Persons","249","units","0","v4","12","41293","","","","0"
"2020-01","Northwest Territories","2016A000261","Persons","249","units","0","v6","14","44904","","","","0"
"2020-04","Northwest Territories","2016A000261","Persons","249","units","0","v6","14","44982","","","","0"
"2020-01","Nunavut","2016A000262","Persons","249","units","0","v7","15","39097","","","","0"
"2020-04","Nunavut","2016A000262","Persons","249","units","0","v7","15","39486","","","","0"


